dataset,fold,inner,n_inner_train,n_inner_val,group_overlap,pixel_hash_overlap,all_classes_in_train,all_classes_in_val,smallest_class,smallest_class_in_val,val_class_counts,valid
aptos2019,7,0,1951,979,0,0,True,True,3,55,"[492, 102, 253, 55, 77]",True
aptos2019,7,1,1953,977,0,0,True,True,3,42,"[479, 94, 285, 42, 77]",True
aptos2019,7,2,1956,974,0,0,True,True,3,58,"[473, 100, 261, 58, 82]",True
aptos2019,8,0,1955,975,0,0,True,True,3,56,"[481, 104, 249, 56, 85]",True
aptos2019,8,1,1952,978,0,0,True,True,3,54,"[476, 99, 278, 54, 71]",True
aptos2019,8,2,1953,977,0,0,True,True,3,45,"[487, 93, 272, 45, 80]",True
aptos2019,9,0,1952,978,0,0,True,True,3,53,"[496, 92, 259, 53, 78]",True
aptos2019,9,1,1951,979,0,0,True,True,3,49,"[489, 99, 269, 49, 73]",True
aptos2019,9,2,1957,973,0,0,True,True,3,52,"[459, 105, 272, 52, 85]",True
aptos2019,10,0,1954,975,0,0,True,True,3,46,"[478, 96, 278, 46, 77]",True
aptos2019,10,1,1954,975,0,0,True,True,3,58,"[488, 94, 256, 58, 79]",True
aptos2019,10,2,1950,979,0,0,True,True,3,50,"[478, 106, 265, 50, 80]",True
aptos2019,11,0,1949,980,0,0,True,True,3,58,"[470, 96, 281, 58, 75]",True
aptos2019,11,1,1952,977,0,0,True,True,3,41,"[463, 102, 277, 41, 94]",True
aptos2019,11,2,1957,972,0,0,True,True,3,55,"[511, 98, 241, 55, 67]",True
aptos2019,12,0,1953,977,0,0,True,True,3,51,"[460, 98, 273, 51, 95]",True
aptos2019,12,1,1951,979,0,0,True,True,3,58,"[494, 96, 266, 58, 65]",True
aptos2019,12,2,1956,974,0,0,True,True,3,46,"[490, 102, 260, 46, 76]",True
aptos2019,13,0,1954,976,0,0,True,True,3,58,"[494, 92, 260, 58, 72]",True
aptos2019,13,1,1952,978,0,0,True,True,3,45,"[482, 105, 270, 45, 76]",True
aptos2019,13,2,1954,976,0,0,True,True,3,52,"[468, 99, 269, 52, 88]",True
aptos2019,14,0,1952,978,0,0,True,True,3,52,"[491, 89, 265, 52, 81]",True
aptos2019,14,1,1954,976,0,0,True,True,3,47,"[477, 105, 264, 47, 83]",True
aptos2019,14,2,1954,976,0,0,True,True,3,55,"[476, 102, 271, 55, 72]",True
