cluster_id,size,pool_indices,images,labels,label_conflict
44,2,542;2151,train_images/a8e88d4891c4.png;train_images/2f7789c1e046.png,3;4,True
45,2,544;2985,train_images/9b32e8ef0ca0.png;train_images/a15652b22ab8.png,2;2,False
46,2,590;939,train_images/1cb814ed6332.png;train_images/a7b0d0c51731.png,2;2,False
47,2,595;1352,train_images/04ac765f91a1.png;train_images/3044022c6969.png,1;1,False
48,2,596;1336,train_images/1411c8ab7161.png;train_images/8acffaf1f4b9.png,2;2,False
49,2,646;2229,train_images/5dc23e440de3.png;train_images/f4d3777f2710.png,2;2,False
50,2,656;3476,train_images/0c7e82daf5a0.png;train_images/3e86335bc2fd.png,2;2,False
51,2,663;1375,train_images/92b0d27fc0ec.png;train_images/1a1b4b2450ca.png,2;2,False
52,2,674;2468,train_images/1ae8c165fd53.png;train_images/5a36cea278ae.png,2;2,False
53,2,677;1329,train_images/1c9c583c10bf.png;train_images/ea15a290eb96.png,0;1,True
54,2,710;3074,train_images/3b4a5fcbe5e0.png;train_images/3ca637fddd56.png,4;4,False
55,2,742;761,train_images/eadc57064154.png;train_images/6c3745a222da.png,4;4,False
56,2,782;2007,train_images/d994203deb64.png;train_images/a505981d1cab.png,2;2,False
57,2,841;2860,train_images/cc12453ea915.png;train_images/65e51e18242b.png,1;1,False
58,2,865;1909,train_images/1c6d119c3d70.png;train_images/a56230242a95.png,2;2,False
59,2,877;2387,train_images/8a759f94613a.png;train_images/2cceb07ff706.png,2;2,False
60,2,893;3650,train_images/d85ea1220a03.png;train_images/bfefa7344e7d.png,4;4,False
61,2,897;2606,train_images/badb5ff8d3c7.png;train_images/2923971566fe.png,0;0,False
62,3,962;1109;2120,train_images/a47432cd41e7.png;train_images/b8ebedd382de.png;train_images/1e8a1fdee5b9.png,1;1;1,False
63,2,1004;3005,train_images/aca88f566228.png;train_images/c05b7b4c22fe.png,2;2,False
64,2,1013;1750,train_images/3f44d749cd0b.png;train_images/f9e1c439d4c8.png,0;0,False
65,2,1038;1197,train_images/ca25745942b0.png;train_images/00cb6555d108.png,1;1,False
66,2,1062;1403,train_images/e39b627cf648.png;train_images/b9127e38d9b9.png,4;2,True
67,2,1072;3100,train_images/5b76117c4bcb.png;train_images/e037643244b7.png,4;4,False
68,2,1085;1497,train_images/76cfe8967f7d.png;train_images/6253f23229b1.png,2;3,True
69,2,1134;3521,train_images/1b4625877527.png;train_images/86b3a7929bec.png,2;2,False
70,2,1145;2899,train_images/3c53198519f7.png;train_images/1c5e6cdc7ee1.png,2;2,False
71,2,1189;1570,train_images/906d02fb822d.png;train_images/a4012932e18d.png,0;0,False
72,2,1190;1960,train_images/48c49f662f7d.png;train_images/6cb98da77e3e.png,2;2,False
73,2,1225;1567,train_images/f0f89314e860.png;train_images/14e3f84445f7.png,4;3,True
74,2,1235;2961,train_images/857002ed4e49.png;train_images/840527bc6628.png,2;2,False
75,2,1246;2155,train_images/3dbfbc11e105.png;train_images/d0079cc188e9.png,2;3,True
76,2,1247;2181,train_images/9c52b87d01f1.png;train_images/6e92b1c5ac8e.png,3;3,False
77,2,1323;3535,train_images/9b7b6e4db1d5.png;train_images/9f4132bd6ed6.png,2;2,False
78,2,1356;2363,train_images/6b00cb764237.png;train_images/64678182d8a8.png,1;1,False
79,2,1363;1396,train_images/9e3510963315.png;train_images/b187b3c93afb.png,4;2,True
80,2,1367;1991,train_images/bacfb1029f6b.png;train_images/e12d41e7b221.png,1;2,True
81,2,1379;1393,train_images/d81b6ed83bc2.png;train_images/cd3fd04d72f5.png,2;2,False
82,2,1422;3532,train_images/f03d3c4ce7fb.png;train_images/9a3c03a5ad0f.png,4;2,True
83,2,1438;1928,train_images/91b6ebaa3678.png;train_images/7e160c8b611e.png,3;3,False
84,2,1468;2508,train_images/a75bab2463d4.png;train_images/1632c4311fc9.png,1;2,True
85,2,1486;1520,train_images/d567a1a22d33.png;train_images/12e3f5f2cb17.png,1;1,False
86,2,1538;3509,train_images/8d7bb0649a02.png;train_images/7550966ef777.png,2;2,False
87,4,1641;1645;2863;3429,train_images/a8582e346df0.png;train_images/c027e5482e8c.png;train_images/7a3ea1779b13.png;train_images/ca6842bfcbc9.png,1;1;1;1,False
88,2,1651;2156,train_images/b376def52ccc.png;train_images/38487e1a5b1f.png,2;2,False
89,2,1657;2255,train_images/8446826853d0.png;train_images/8ef2eb8c51c4.png,2;1,True
90,2,1682;3452,train_images/012a242ac6ff.png;train_images/1f07dae3cadb.png,2;2,False
91,2,1683;3387,train_images/1c4d87baaffc.png;train_images/35aa7f5c2ec0.png,2;1,True
92,2,1689;1862,train_images/9c5dd3612f0c.png;train_images/c9f0dc2c8b43.png,2;2,False
93,2,1693;2301,train_images/98f7136d2e7a.png;train_images/e740af6ac6ea.png,2;4,True
94,3,1726;1807;3400,train_images/8cb6b0efaaac.png;train_images/42a850acd2ac.png;train_images/51131b48f9d4.png,2;2;1,True
95,2,1743;2297,train_images/a19507501b40.png;train_images/3a1d3ce00f0c.png,2;2,False
96,2,1781;1808,train_images/4ce74e5eb51d.png;train_images/c68dfa021d62.png,2;2,False
97,2,1861;3619,train_images/576e189d23d4.png;train_images/1638404f385c.png,4;4,False
98,2,1871;2514,train_images/40e9b5630438.png;train_images/77a9538b8362.png,1;1,False
99,2,1873;1896,train_images/e8d1c6c07cf2.png;train_images/f23902998c21.png,3;2,True
100,2,1890;3466,train_images/135575dc57c9.png;train_images/2c2aa057afc5.png,2;2,False
101,2,1949;3560,train_images/e7a7187066ad.png;train_images/ce887b196c23.png,2;2,False
102,2,2013;2399,train_images/80d24897669f.png;train_images/fea14b3d44b0.png,1;1,False
103,2,2047;3389,train_images/7bf981d9c7fe.png;train_images/36677b70b1ef.png,1;1,False
104,2,2060;2951,train_images/ee2c2a5f7d0e.png;train_images/7877be80901c.png,2;2,False
105,2,2130;2954,train_images/86baef833ae0.png;train_images/7a0cff4c24b2.png,2;2,False
106,2,2143;3029,train_images/ca0f1a17c8e5.png;train_images/ea05c22d92e9.png,2;2,False
107,2,2240;2847,train_images/c546670d9684.png;train_images/30cab14951ac.png,0;1,True
108,2,2277;3575,train_images/46cdc8b685bd.png;train_images/e4151feb8443.png,4;2,True
109,2,2308;2466,train_images/0161338f53cc.png;train_images/cac40227d3b2.png,2;2,False
110,2,2691;2787,train_images/7b691d9ced34.png;train_images/d51c2153d151.png,0;0,False
111,2,2890;2958,train_images/07419eddd6be.png;train_images/81b0a2651c45.png,2;2,False
112,2,2892;3062,train_images/0ac436400db4.png;train_images/fda39982a810.png,2;3,True
113,2,2906;3030,train_images/23d7ca170bdb.png;train_images/ea9e0fb6fb0b.png,2;2,False
114,2,2949;3531,train_images/75a7bc945b7d.png;train_images/98104c8c67eb.png,2;2,False
115,2,2995;3019,train_images/b13d72ceea26.png;train_images/da0a1043abf7.png,2;2,False
116,2,3000;3622,train_images/b91ef82e723a.png;train_images/2df07eb5779f.png,2;4,True
117,2,3002;3033,train_images/bcdc8db5423b.png;train_images/f920ccd926db.png,2;2,False
118,2,3037;3488,train_images/0cb14014117d.png;train_images/4a44cc840ebe.png,3;2,True
119,2,3063;3494,train_images/fe0fc67c7980.png;train_images/521d3e264d71.png,3;2,True
120,2,3098;3657,train_images/d51b3fe0fa1b.png;train_images/df4913ca3712.png,4;4,False
121,2,3104;3648,train_images/ed3a0fc5b546.png;train_images/ba735b286d62.png,4;4,False
122,2,3396;3416,train_images/4d7d6928534a.png;train_images/94b1d8ad35ec.png,1;1,False
