dataset,arm,fold,config,inner_mean,exploratory
aptos2019,vs,0,"g=0.4,t=0.5",0.642248068996381,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,0,"g=0.4,t=1.0",0.6305155372221403,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,0,"g=0.4,t=1.5",0.6186932101042137,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,0,"abs,lam=0.1,none",0.6275650188908946,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,0,"abs,lam=0.1,wce",0.6452526017611143,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,0,"abs,lam=0.5,none",0.6287558471154409,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,0,"abs,lam=0.5,wce",0.638631307059974,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,0,"abs,lam=1.0,none",0.6272163230598109,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,0,"abs,lam=1.0,wce",0.6368980763876466,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,0,"cdf2,lam=0.1,none",0.6262465915732669,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,0,"cdf2,lam=0.1,wce",0.6426176464121077,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,0,"cdf2,lam=0.5,none",0.6265935923403317,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,0,"cdf2,lam=0.5,wce",0.6347011703959404,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,0,"cdf2,lam=1.0,none",0.6290739880012957,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,0,"cdf2,lam=1.0,wce",0.6367260967372685,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.0,t=0.0",0.6424403516816712,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.0,t=0.5",0.646440744759545,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.0,t=1.0",0.6469900022348367,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.0,t=1.5",0.6486952691188914,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.1,t=0.0",0.6538633549941986,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.1,t=0.5",0.655158717136605,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.1,t=1.0",0.6528847081090826,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.1,t=1.5",0.6467139768544736,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.2,t=0.0",0.6591619333977029,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.2,t=0.5",0.6482965886994094,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.2,t=1.0",0.6540553325131648,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.2,t=1.5",0.6501862327538123,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.3,t=0.0",0.6551061417245976,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.3,t=0.5",0.6513269414870263,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.3,t=1.0",0.6475113544414071,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.3,t=1.5",0.6382753467190942,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.4,t=0.0",0.6523568966130078,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.4,t=0.5",0.6403985083594858,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.4,t=1.0",0.6371941461433723,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.4,t=1.5",0.6270965495181973,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,1,"abs,lam=0.1,none",0.6437898431844143,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,1,"abs,lam=0.1,wce",0.6474955379827382,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,1,"abs,lam=0.5,none",0.645220470502451,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,1,"abs,lam=0.5,wce",0.640638844279647,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,1,"abs,lam=1.0,none",0.6455687285092914,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,1,"abs,lam=1.0,wce",0.6390079565465128,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,1,"cdf2,lam=0.1,none",0.6435414155114584,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,1,"cdf2,lam=0.1,wce",0.6486653493034928,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,1,"cdf2,lam=0.5,none",0.6439572904389752,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,1,"cdf2,lam=0.5,wce",0.6460363444315211,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,1,"cdf2,lam=1.0,none",0.6419861959336881,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,1,"cdf2,lam=1.0,wce",0.6415545497775325,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.0,t=0.0",0.6450962529566866,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.0,t=0.5",0.6604021748527855,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.0,t=1.0",0.6629407172858592,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.0,t=1.5",0.6664494812975725,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.1,t=0.0",0.6670598858575987,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.1,t=0.5",0.6723809011080337,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.1,t=1.0",0.6727727525449037,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.1,t=1.5",0.6743881820064821,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.2,t=0.0",0.6831002891590219,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.2,t=0.5",0.6786264998704008,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.2,t=1.0",0.6754030055736201,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.2,t=1.5",0.6633742622203636,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.3,t=0.0",0.671452742058674,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.3,t=0.5",0.6743658912865245,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.3,t=1.0",0.6597706581088859,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.3,t=1.5",0.640730871782561,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.4,t=0.0",0.6682277912834296,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.4,t=0.5",0.6624975793032009,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.4,t=1.0",0.6478984344553107,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.4,t=1.5",0.6344746169234468,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,2,"abs,lam=0.1,none",0.6449578446521883,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,2,"abs,lam=0.1,wce",0.6618935571819438,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,2,"abs,lam=0.5,none",0.6499749398880339,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,2,"abs,lam=0.5,wce",0.6582708685738494,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,2,"abs,lam=1.0,none",0.6518506396948665,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,2,"abs,lam=1.0,wce",0.6563443014651794,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,2,"cdf2,lam=0.1,none",0.6473817139495942,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,2,"cdf2,lam=0.1,wce",0.6625172063100571,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,2,"cdf2,lam=0.5,none",0.6492941560914557,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,2,"cdf2,lam=0.5,wce",0.6603435103466699,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,2,"cdf2,lam=1.0,none",0.6488256940750964,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,2,"cdf2,lam=1.0,wce",0.6531280599594407,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.0,t=0.0",0.6301971739248305,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.0,t=0.5",0.6348210596522763,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.0,t=1.0",0.6365904477132474,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.0,t=1.5",0.6377673916930761,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.1,t=0.0",0.6356777793488746,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.1,t=0.5",0.6335385356404999,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.1,t=1.0",0.6365058601168039,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.1,t=1.5",0.6360774057683954,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.2,t=0.0",0.6351280419893458,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.2,t=0.5",0.6368791311557471,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.2,t=1.0",0.6331382523661139,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.2,t=1.5",0.632290086382612,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.3,t=0.0",0.6403583142282441,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.3,t=0.5",0.6404151232656398,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.3,t=1.0",0.6379141605716386,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.3,t=1.5",0.6264811827459533,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.4,t=0.0",0.6438435374795615,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.4,t=0.5",0.6382324191083972,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.4,t=1.0",0.6349230634551238,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.4,t=1.5",0.6264912140389324,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,3,"abs,lam=0.1,none",0.6323993015844052,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,3,"abs,lam=0.1,wce",0.6367607957037776,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,3,"abs,lam=0.5,none",0.6298018173795938,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,3,"abs,lam=0.5,wce",0.6341878298251078,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,3,"abs,lam=1.0,none",0.6348979983726537,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,3,"abs,lam=1.0,wce",0.6311946148014396,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,3,"cdf2,lam=0.1,none",0.6312982377546179,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,3,"cdf2,lam=0.1,wce",0.6355208429851015,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,3,"cdf2,lam=0.5,none",0.6318132772256729,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,3,"cdf2,lam=0.5,wce",0.6340754733461577,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,3,"cdf2,lam=1.0,none",0.6279248654190567,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,3,"cdf2,lam=1.0,wce",0.633406907393242,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,4,"g=0.0,t=0.0",0.6468667843314901,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,4,"g=0.0,t=0.5",0.6584015649589468,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,4,"g=0.0,t=1.0",0.663492052936699,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,4,"g=0.0,t=1.5",0.6616490136323907,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,4,"g=0.1,t=0.0",0.6690930744367308,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,4,"g=0.1,t=0.5",0.666833168768554,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,4,"g=0.1,t=1.0",0.6592727378108988,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,4,"g=0.1,t=1.5",0.6503416898731181,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,4,"g=0.2,t=0.0",0.6691752136992962,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,4,"g=0.2,t=0.5",0.6593985739264369,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,4,"g=0.2,t=1.0",0.6512006879961675,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,4,"g=0.2,t=1.5",0.6506330455198434,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,4,"g=0.3,t=0.0",0.6533469177388055,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,4,"g=0.3,t=0.5",0.6547635695400778,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,4,"g=0.3,t=1.0",0.6469090584896321,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,4,"g=0.3,t=1.5",0.6412635597587713,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,4,"g=0.4,t=0.0",0.6563478309212664,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,4,"g=0.4,t=0.5",0.6495488754263763,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,4,"g=0.4,t=1.0",0.646186686895634,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,4,"g=0.4,t=1.5",0.6279150908733688,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,4,"abs,lam=0.1,none",0.646144562109268,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,4,"abs,lam=0.1,wce",0.6598400393771605,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,4,"abs,lam=0.5,none",0.6472010788336047,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,4,"abs,lam=0.5,wce",0.6585685592054588,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,4,"abs,lam=1.0,none",0.64699674463741,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,4,"abs,lam=1.0,wce",0.6621598599529801,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,4,"cdf2,lam=0.1,none",0.6461268316128141,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,4,"cdf2,lam=0.1,wce",0.6610900393771606,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,4,"cdf2,lam=0.5,none",0.6473777927815952,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,4,"cdf2,lam=0.5,wce",0.6583144624011699,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,4,"cdf2,lam=1.0,none",0.6468933099555636,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,4,"cdf2,lam=1.0,wce",0.6593309407439195,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,5,"g=0.0,t=0.0",0.6558046238404804,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,5,"g=0.0,t=0.5",0.6620021874710853,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,5,"g=0.0,t=1.0",0.6680872447704257,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,5,"g=0.0,t=1.5",0.6645594812718734,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,5,"g=0.1,t=0.0",0.6657431312845591,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,5,"g=0.1,t=0.5",0.6623101580839421,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,5,"g=0.1,t=1.0",0.6607216758984371,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,5,"g=0.1,t=1.5",0.6595877840014113,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,5,"g=0.2,t=0.0",0.6589343700937087,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,5,"g=0.2,t=0.5",0.6593883983676678,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,5,"g=0.2,t=1.0",0.659140112884703,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,5,"g=0.2,t=1.5",0.6494352707048392,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,5,"g=0.3,t=0.0",0.6561562374964451,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,5,"g=0.3,t=0.5",0.6519779751117355,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,5,"g=0.3,t=1.0",0.6486167955409935,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,5,"g=0.3,t=1.5",0.6394164519546646,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,5,"g=0.4,t=0.0",0.6485125998336339,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,5,"g=0.4,t=0.5",0.6484442892623304,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,5,"g=0.4,t=1.0",0.6362873930712502,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,5,"g=0.4,t=1.5",0.6249012408361991,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,5,"abs,lam=0.1,none",0.6591062458561538,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,5,"abs,lam=0.1,wce",0.6627238960161126,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,5,"abs,lam=0.5,none",0.6573498147947282,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,5,"abs,lam=0.5,wce",0.6601492070385688,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,5,"abs,lam=1.0,none",0.659600429455109,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,5,"abs,lam=1.0,wce",0.6585506580468052,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,5,"cdf2,lam=0.1,none",0.6554229645380323,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,5,"cdf2,lam=0.1,wce",0.6616869932700329,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,5,"cdf2,lam=0.5,none",0.6532788899555568,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,5,"cdf2,lam=0.5,wce",0.6619720125061875,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,5,"cdf2,lam=1.0,none",0.6549315758010175,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,5,"cdf2,lam=1.0,wce",0.6593328326323755,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,6,"g=0.0,t=0.0",0.6450103192274623,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,6,"g=0.0,t=0.5",0.6558086035219339,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,6,"g=0.0,t=1.0",0.663555065869485,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,6,"g=0.0,t=1.5",0.6622463895782882,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,6,"g=0.1,t=0.0",0.6532564998877575,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,6,"g=0.1,t=0.5",0.6523628791085456,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,6,"g=0.1,t=1.0",0.6632991270974066,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,6,"g=0.1,t=1.5",0.6627761988515312,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,6,"g=0.2,t=0.0",0.6545796699242071,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,6,"g=0.2,t=0.5",0.6606797633827337,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,6,"g=0.2,t=1.0",0.66399439872983,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,6,"g=0.2,t=1.5",0.6538185109700511,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,6,"g=0.3,t=0.0",0.6596961838096529,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,6,"g=0.3,t=0.5",0.6602227160356925,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,6,"g=0.3,t=1.0",0.6556497463990875,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,6,"g=0.3,t=1.5",0.6372870960405512,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,6,"g=0.4,t=0.0",0.6609995107031403,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,6,"g=0.4,t=0.5",0.6536073618884273,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,6,"g=0.4,t=1.0",0.6418802870557411,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,6,"g=0.4,t=1.5",0.6246953103019418,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,6,"abs,lam=0.1,none",0.6474017056378948,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,6,"abs,lam=0.1,wce",0.6613787067409802,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,6,"abs,lam=0.5,none",0.6486192295367863,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,6,"abs,lam=0.5,wce",0.6597412207495038,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,6,"abs,lam=1.0,none",0.6458017740781927,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,6,"abs,lam=1.0,wce",0.6644844386265277,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,6,"cdf2,lam=0.1,none",0.646236154816227,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,6,"cdf2,lam=0.1,wce",0.6591717107078031,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
